curSplit,00:00
curSplit,00:00
side,0
side,0
front,386
front,386
mode,0
mode,0
wheelSpeed,0
wheelSpeed,0
steering,45
steering,45
side,0
front,390
side,0
front,390
mode,0
mode,0
wheelSpeed,0
wheelSpeed,0
steering,45
side,0
steering,45
side,0
front,394
front,394
mode,0
mode,0
wheelSpeed,0
steering,45
side,0
side,0
wheelSpeed,0
steering,45
front,392
front,392
mode,0
mode,0
wheelSpeed,0
wheelSpeed,0
steering,45
steering,45
side,0
front,394
front,394
side,0
mode,0
mode,0
wheelSpeed,0
wheelSpeed,0
steering,45
steering,45
side,0
side,0
front,393
front,393
mode,0
mode,0
wheelSpeed,0
steering,45
steering,45
side,0
side,0
wheelSpeed,0
front,392
front,392
mode,0
mode,0
wheelSpeed,0
wheelSpeed,0
steering,45
steering,45
side,0
side,0
front,393
front,393
mode,0
mode,0
wheelSpeed,0
wheelSpeed,0
steering,45
side,0
side,0
steering,45
front,363
front,363
mode,0
mode,0
wheelSpeed,0
steering,45
steering,45
side,0
front,350
front,350
side,0
wheelSpeed,0
mode,0
mode,0
wheelSpeed,0
steering,45
steering,45
side,0
side,0
wheelSpeed,0
front,354
front,354
mode,0
mode,0
wheelSpeed,0
steering,45
side,0
front,382
front,382
side,0
steering,45
wheelSpeed,0
mode,0
mode,0
wheelSpeed,0
steering,45
steering,45
wheelSpeed,0
front,391
front,391
side,0
side,0
mode,0
mode,0
wheelSpeed,0
steering,45
side,0
steering,45
front,393
side,0
front,393
wheelSpeed,0
mode,0
mode,0
wheelSpeed,0
steering,45
steering,45
wheelSpeed,0
side,0
side,0
front,393
front,393
mode,0
mode,0
wheelSpeed,0
wheelSpeed,0
steering,45
steering,45
side,0
front,392
side,0
front,392
mode,0
mode,0
wheelSpeed,0
side,0
side,0
front,139
front,139
steering,45
steering,45
wheelSpeed,0
mode,0
mode,0
wheelSpeed,0
steering,45
side,0
steering,45
front,390
side,0
front,390
wheelSpeed,0
mode,0
mode,0
wheelSpeed,0
steering,45
steering,45
side,0
front,385
front,385
wheelSpeed,0
side,0
mode,0
mode,0
wheelSpeed,0
wheelSpeed,0
steering,45
steering,45
side,0
front,385
side,0
front,385
mode,0
mode,0
wheelSpeed,0
wheelSpeed,0
steering,45
steering,45
side,0
side,0
front,387
front,387
mode,0
mode,0
wheelSpeed,0
wheelSpeed,0
steering,45
side,0
side,0
steering,45
front,395
front,395
mode,0
mode,0
wheelSpeed,0
steering,45
steering,45
front,386
front,386
side,0
wheelSpeed,0
side,0
mode,0
mode,0
wheelSpeed,0
wheelSpeed,0
steering,45
steering,45
side,375
side,375
front,386
front,386
mode,0
mode,0
wheelSpeed,0
side,375
side,375
front,386
front,386
steering,45
steering,45
wheelSpeed,0
mode,0
mode,0
wheelSpeed,0
side,375
side,375
front,386
front,386
steering,45
steering,45
wheelSpeed,0
mode,1
mode,1
wheelSpeed,0
wheelSpeed,0
steering,45
steering,45
curSplit,00:13
curSplit,00:13
side,375
side,375
front,387
front,387
mode,1
wheelSpeed,0
steering,45
side,370
side,370
front,399
front,399
wheelSpeed,0
steering,45
mode,1
mode,1
mode,1
wheelSpeed,0
side,370
side,370
front,384
front,384
steering,45
steering,45
wheelSpeed,0
mode,1
mode,1
wheelSpeed,0.4
steering,45
steering,45
side,370
front,385
front,385
side,370
wheelSpeed,0.4
mode,1
mode,1
wheelSpeed,0.4
steering,45
wheelSpeed,0.4
steering,45
side,373
front,385
side,373
front,385
mode,1
mode,1
wheelSpeed,0.4
wheelSpeed,0.4
steering,45
steering,45
side,373
side,373
front,384
front,384
mode,1
mode,1
wheelSpeed,0.4
steering,45
steering,45
side,374
side,374
front,383
front,383
wheelSpeed,0.4
mode,1
mode,1
wheelSpeed,0.2
steering,45
side,374
front,383
front,383
side,374
steering,45
wheelSpeed,0.2
mode,1
mode,1
wheelSpeed,0.2
steering,45
side,374
side,374
front,384
front,384
wheelSpeed,0.2
steering,45
mode,1
mode,1
wheelSpeed,0.3
side,374
side,374
front,385
front,385
steering,0
steering,0
wheelSpeed,0.3
mode,1
mode,1
wheelSpeed,0.2
wheelSpeed,0.2
steering,0
side,605
side,605
steering,0
front,383
front,383
mode,1
mode,1
wheelSpeed,0.1
wheelSpeed,0.1
steering,90
steering,90
side,0
side,0
front,382
front,382
mode,1
mode,1
wheelSpeed,0.3
wheelSpeed,0.3
steering,90
side,0
front,385
side,0
steering,90
front,385
mode,1
mode,1
wheelSpeed,0.2
wheelSpeed,0.2
steering,90
side,0
side,0
steering,90
front,383
front,383
mode,1
mode,1
wheelSpeed,0.2
steering,90
side,0
front,383
front,383
steering,90
wheelSpeed,0.2
side,0
mode,1
mode,1
wheelSpeed,0.3
steering,90
side,0
side,0
front,384
wheelSpeed,0.3
steering,90
front,384
mode,1
mode,1
wheelSpeed,0.2
side,0
side,0
front,384
front,384
steering,90
steering,90
